lead_id,created_date,city,channel,property_type,budget,visits_scheduled,offer_made,closed_won,days_to_close
LED-000386,2026-02-23,Seattle,walk_in,multi_family,580556,2,0,0,
LED-000387,2026-02-07,Miami,agent_network,multi_family,652898,4,1,0,45
LED-000388,2025-02-12,Austin,portal,townhouse,538844,4,0,0,
LED-000389,2025-09-01,Denver,agent_network,townhouse,701229,2,0,0,
LED-000390,2026-01-19,Seattle,agent_network,single_family,428282,3,0,0,
LED-000391,2025-03-02,Austin,referral,multi_family,834563,5,1,0,17
LED-000392,2025-03-02,Denver,walk_in,single_family,1074049,3,0,0,
LED-000393,2025-02-23,Boston,paid_search,multi_family,499783,0,0,0,
LED-000394,2025-12-17,Denver,paid_search,townhouse,1098160,2,0,0,
LED-000395,2025-01-15,Seattle,portal,townhouse,157612,1,0,0,
LED-000396,2025-06-21,Denver,agent_network,single_family,294677,0,0,0,
LED-000397,2026-02-11,Boston,paid_search,multi_family,547834,3,1,0,24
LED-000398,2026-01-07,Miami,paid_search,single_family,661368,0,0,0,
LED-000399,2025-01-05,Seattle,walk_in,condo,744260,2,0,0,
LED-000400,2025-09-02,Boston,paid_search,single_family,790438,4,1,0,47
LED-000401,2025-07-11,Seattle,portal,condo,662608,3,0,0,
LED-000402,2025-10-22,Miami,walk_in,multi_family,958680,2,0,0,
LED-000403,2026-01-29,Miami,agent_network,single_family,683042,0,0,0,
LED-000404,2025-10-20,Austin,walk_in,single_family,564426,1,0,0,
LED-000405,2026-02-12,Austin,agent_network,townhouse,1015637,2,0,0,
LED-000406,2025-04-02,Boston,portal,townhouse,910724,2,0,0,
LED-000407,2025-03-06,Miami,agent_network,multi_family,1051468,4,0,0,
LED-000408,2025-09-06,Austin,walk_in,multi_family,896033,1,0,0,
LED-000409,2025-05-12,Austin,agent_network,single_family,794588,1,0,0,
LED-000410,2025-01-02,Seattle,agent_network,condo,725348,0,0,0,
LED-000411,2025-02-27,Boston,agent_network,single_family,254580,0,0,0,
LED-000412,2026-01-19,Denver,referral,multi_family,830515,4,1,1,68
LED-000413,2025-07-31,Austin,walk_in,condo,344535,1,0,0,
LED-000414,2025-02-11,Austin,walk_in,townhouse,607834,2,0,0,
LED-000415,2025-05-31,Austin,agent_network,townhouse,1033701,1,1,0,43
LED-000416,2025-04-06,Austin,portal,townhouse,152904,0,0,0,
LED-000417,2025-03-22,Seattle,agent_network,single_family,1031597,3,0,0,
LED-000418,2026-02-12,Denver,paid_search,condo,126214,0,0,0,
LED-000419,2026-01-29,Miami,agent_network,multi_family,978496,0,0,0,
LED-000420,2025-10-17,Boston,paid_search,townhouse,1394511,2,0,0,
LED-000421,2025-05-14,Austin,portal,single_family,306149,4,0,0,
LED-000422,2025-07-18,Denver,walk_in,condo,606631,1,1,1,41
LED-000423,2025-08-22,Boston,walk_in,single_family,868080,3,1,0,44
LED-000424,2025-04-26,Boston,portal,townhouse,525766,4,1,0,23
LED-000425,2025-01-17,Miami,agent_network,single_family,576708,2,0,0,
LED-000426,2025-06-30,Miami,agent_network,single_family,892227,3,1,0,41
LED-000427,2025-12-27,Austin,agent_network,townhouse,569376,2,1,0,32
LED-000428,2025-11-10,Boston,portal,condo,752074,3,0,0,
LED-000429,2025-05-31,Austin,portal,townhouse,876206,0,0,0,
LED-000430,2025-12-03,Austin,portal,multi_family,847754,3,0,0,
LED-000431,2025-10-22,Boston,portal,multi_family,751894,0,0,0,
LED-000432,2025-12-19,Austin,agent_network,townhouse,823659,1,0,0,
LED-000433,2026-02-15,Miami,paid_search,condo,815301,3,1,0,25
LED-000434,2025-04-26,Miami,paid_search,townhouse,801757,2,0,0,
LED-000435,2025-03-21,Denver,portal,townhouse,392411,3,0,0,
LED-000436,2026-01-28,Miami,referral,multi_family,945630,4,1,0,44
LED-000437,2025-07-31,Denver,agent_network,condo,554891,1,0,0,
LED-000438,2025-01-12,Miami,paid_search,townhouse,622722,2,0,0,
LED-000439,2025-05-08,Boston,walk_in,multi_family,682805,3,0,0,
LED-000440,2025-10-25,Miami,paid_search,single_family,1208123,2,1,1,57
LED-000441,2026-01-24,Boston,agent_network,single_family,845224,1,0,0,
LED-000442,2025-02-26,Denver,portal,multi_family,262865,0,0,0,
LED-000443,2025-12-04,Miami,portal,single_family,688437,2,0,0,
LED-000444,2025-09-07,Denver,portal,multi_family,507993,0,0,0,
LED-000445,2025-01-23,Seattle,paid_search,single_family,236077,0,0,0,
LED-000446,2025-01-13,Denver,agent_network,condo,843741,3,0,0,
LED-000447,2025-08-10,Boston,portal,condo,376495,2,0,0,
LED-000448,2025-08-24,Denver,walk_in,condo,872593,2,0,0,
LED-000449,2025-01-22,Boston,portal,condo,791804,1,0,0,
LED-000450,2025-02-10,Denver,agent_network,townhouse,915162,2,0,0,
LED-000451,2025-01-10,Boston,referral,townhouse,494921,0,0,0,
LED-000452,2026-02-23,Denver,paid_search,single_family,565688,1,1,0,44
LED-000453,2025-07-07,Seattle,portal,townhouse,605705,1,0,0,
LED-000454,2026-02-21,Miami,paid_search,townhouse,1209364,2,0,0,
LED-000455,2026-02-08,Austin,portal,condo,359087,1,0,0,
LED-000456,2025-12-14,Seattle,agent_network,townhouse,852627,4,1,0,68
LED-000457,2026-02-23,Boston,portal,single_family,949615,5,0,0,
LED-000458,2025-09-27,Boston,walk_in,multi_family,710325,6,0,0,
LED-000459,2025-01-24,Denver,paid_search,multi_family,900400,1,0,0,
LED-000460,2025-06-17,Seattle,referral,single_family,765650,3,1,1,60
LED-000461,2025-05-09,Seattle,referral,single_family,939406,2,0,0,
LED-000462,2025-01-03,Boston,referral,condo,862459,2,1,0,36
LED-000463,2025-12-18,Austin,walk_in,townhouse,784050,0,0,0,
LED-000464,2025-06-03,Austin,referral,condo,550989,0,0,0,
LED-000465,2025-01-13,Boston,paid_search,single_family,618739,1,0,0,
LED-000466,2025-06-19,Denver,referral,single_family,484184,2,0,0,
LED-000467,2025-06-08,Denver,paid_search,condo,906339,2,0,0,
LED-000468,2025-04-29,Miami,portal,multi_family,378640,4,0,0,
LED-000469,2025-09-16,Miami,portal,condo,835943,2,0,0,
LED-000470,2026-01-11,Austin,portal,condo,1029677,3,1,0,31
LED-000471,2025-02-27,Austin,paid_search,condo,472803,4,1,0,63
LED-000472,2026-02-19,Seattle,referral,single_family,728734,3,1,0,46
LED-000473,2025-10-11,Denver,portal,townhouse,401255,1,0,0,
LED-000474,2025-11-25,Boston,walk_in,condo,1427742,1,0,0,
LED-000475,2025-08-18,Austin,referral,multi_family,527755,4,0,0,
LED-000476,2025-09-05,Miami,portal,multi_family,692034,0,0,0,
LED-000477,2025-11-08,Austin,portal,multi_family,787984,3,0,0,
LED-000478,2025-09-14,Seattle,paid_search,condo,863762,2,0,0,
LED-000479,2025-11-25,Miami,referral,single_family,478215,2,0,0,
LED-000480,2025-11-22,Seattle,agent_network,condo,808503,2,0,0,
LED-000481,2025-06-11,Miami,referral,condo,313888,2,0,0,
LED-000482,2025-08-03,Denver,walk_in,townhouse,879457,4,1,0,31
LED-000483,2025-04-05,Boston,walk_in,townhouse,641705,2,0,0,
LED-000484,2025-07-26,Austin,referral,single_family,579633,4,0,0,
LED-000485,2025-07-17,Boston,agent_network,single_family,835696,2,1,0,1
LED-000486,2025-10-26,Austin,walk_in,multi_family,576469,2,0,0,
LED-000487,2025-11-29,Miami,paid_search,townhouse,1040763,2,1,1,32
LED-000488,2025-10-16,Austin,paid_search,condo,638921,2,0,0,
LED-000489,2025-09-16,Miami,portal,townhouse,316708,4,1,1,18
LED-000490,2025-10-04,Seattle,paid_search,condo,464693,2,1,0,36
LED-000491,2025-09-17,Seattle,walk_in,multi_family,742067,2,0,0,
LED-000492,2025-08-15,Miami,agent_network,single_family,646138,0,0,0,
LED-000493,2025-12-17,Boston,portal,condo,735335,2,0,0,
LED-000494,2025-05-12,Austin,agent_network,townhouse,408887,3,1,0,53
LED-000495,2025-10-10,Austin,referral,townhouse,703870,1,0,0,
LED-000496,2025-12-01,Boston,referral,single_family,635201,4,1,0,20
LED-000497,2025-03-16,Austin,referral,single_family,437828,3,0,0,
LED-000498,2025-02-22,Boston,referral,townhouse,553424,2,0,0,
LED-000499,2025-01-19,Miami,portal,single_family,1207828,3,0,0,
LED-000500,2025-10-14,Denver,portal,multi_family,915853,3,1,1,36
LED-000501,2025-09-05,Seattle,portal,multi_family,894510,3,0,0,
LED-000502,2025-12-30,Seattle,portal,condo,808557,3,0,0,
LED-000503,2025-10-19,Miami,referral,condo,952447,0,0,0,
LED-000504,2025-09-09,Boston,agent_network,multi_family,766008,1,0,0,
LED-000505,2025-09-07,Boston,walk_in,multi_family,682956,2,0,0,
LED-000506,2025-10-26,Boston,referral,multi_family,768267,3,0,0,
LED-000507,2025-12-28,Denver,referral,townhouse,551010,0,0,0,
LED-000508,2025-08-21,Miami,portal,condo,893685,2,0,0,
LED-000509,2025-11-28,Denver,walk_in,single_family,212048,1,0,0,
LED-000510,2025-12-02,Seattle,walk_in,single_family,1028191,2,0,0,
LED-000511,2025-06-10,Denver,walk_in,townhouse,782200,2,0,0,
LED-000512,2025-08-01,Denver,paid_search,townhouse,1033614,1,0,0,
LED-000513,2025-11-01,Austin,walk_in,townhouse,353792,1,1,0,24
LED-000514,2025-09-24,Seattle,agent_network,condo,898153,2,0,0,
LED-000515,2025-12-29,Seattle,referral,single_family,1002061,4,1,1,42
LED-000516,2025-04-18,Seattle,referral,multi_family,567923,1,0,0,
LED-000517,2025-03-13,Denver,referral,townhouse,802953,2,0,0,
LED-000518,2025-06-07,Austin,referral,multi_family,645337,0,0,0,
LED-000519,2025-11-04,Austin,walk_in,townhouse,735472,0,0,0,
LED-000520,2025-06-13,Miami,paid_search,single_family,774130,1,1,0,23
LED-000521,2025-07-05,Denver,walk_in,multi_family,761252,1,1,0,44
LED-000522,2026-01-22,Seattle,portal,single_family,522329,3,1,0,32
LED-000523,2025-05-06,Denver,agent_network,single_family,392101,2,1,1,25
LED-000524,2025-10-22,Seattle,referral,multi_family,438558,1,1,1,18
LED-000525,2025-04-12,Boston,walk_in,condo,1136888,4,1,0,10
LED-000526,2025-09-19,Miami,agent_network,single_family,863293,1,0,0,
LED-000527,2025-08-25,Denver,paid_search,townhouse,902282,3,0,0,
LED-000528,2025-05-19,Denver,portal,condo,650483,4,1,1,70
LED-000529,2025-08-28,Austin,paid_search,single_family,1178331,2,1,1,44
LED-000530,2025-12-26,Austin,paid_search,multi_family,1158617,3,1,0,2
LED-000531,2025-05-13,Seattle,portal,single_family,662217,0,0,0,
LED-000532,2025-11-19,Austin,paid_search,multi_family,317074,4,0,0,
LED-000533,2026-02-15,Boston,referral,single_family,914872,2,1,0,14
LED-000534,2025-06-22,Seattle,portal,townhouse,483761,0,0,0,
LED-000535,2025-12-24,Denver,walk_in,single_family,771992,3,0,0,
LED-000536,2025-12-05,Austin,agent_network,townhouse,986041,4,1,1,25
LED-000537,2025-04-21,Seattle,referral,condo,712519,2,1,1,53
LED-000538,2025-12-02,Seattle,agent_network,single_family,921473,2,0,0,
LED-000539,2025-07-28,Denver,referral,single_family,636278,4,1,0,29
LED-000540,2025-01-21,Austin,walk_in,multi_family,624474,3,1,0,18
